AGRO:00000007	desuckering
AGRO:00000027	thinning
AGRO:00000360	experimental site
AGRO:00000361	farmer field
AGRO:00000362	research station field
AGRO:00000363	greenhouse
AGRO:00000364	governmental forest
AGRO:00000365	private forest
AGRO:00000566	pruning process
AGRO:00002071	agricultural process
BAO:0010026	protein profiling assay
BAO:0010027	shotgun MS protein profiling assay
BAO:0010028	SWATH MS protein profiling assay
BAO:0010029	P100 protein profiling assay
BAO:0010030	RPPA protein profiling assay
BAO:0010049	Microwestern
BAO:0010052	ELISA protein state assay
BAO:0010070	Tandem Mass Tag (TMT) MS Protein Quantification
BAO:0010071	Liquid Chromatography/Mass Spectroscopy (LC/MS) protein quantification
BTO:0001899	stationary phase culture
BTO:0001900	growth phase culture
BTO:0001901	death phase culture
BTO:0001902	lag phase culture
BTO:0001903	logarithmic phase culture
CHEBI:35209	label
CHMO:0000995	mobile phase
CHMO:0001485	derivatisation
CHMO:0001549	sample drying
CHMO:0001557	vacuum drying
CHMO:0001583	liquid-solid extraction
CHMO:0001584	normal-phase solid-phase extraction
CHMO:0001585	reversed-phase solid-phase extraction
CHMO:0001586	solid-phase micro-extraction
CHMO:0001587	capillary micro-extraction
CHMO:0001588	sol–gel capillary micro-extraction
CHMO:0001589	headspace solid-phase micro-extraction
CHMO:0001590	micro-extraction in a packed syringe
CHMO:0001652	grinding
CHMO:0002757	methoxyamination derivatisation
CHMO:0002758	trimethylsilyl derivatisation
CHMO:0002863	dispersive solid phase extraction
CHMO:0002887	dispersive solid-phase microextraction
DPBO:0000001	growth plot design
DPBO:0000002	read alignment software
DPBO:0000003	read alignment software version
DPBO:0000004	read alignment software parameters
DPBO:0000005	humidity day
DPBO:0000006	humidity night
DPBO:0000007	temperature day
DPBO:0000008	temperature night
DPBO:0000009	sample collection method
DPBO:0000010	metabolism quenching method
DPBO:0000011	sample storage
DPBO:0000012	bio entity
DPBO:0000013	biosource amount
DPBO:0000014	extraction kit
DPBO:0000015	library layout
DPBO:0000016	library RNA amount
DPBO:0000017	base-calling software
DPBO:0000018	base-calling software version
DPBO:0000019	base-calling software parameters
DPBO:0000020	library strand
DPBO:0000021	raw data file format
DPBO:0000022	raw data file checksum
DPBO:0000023	data filtering software
DPBO:0000024	data filtering software version
DPBO:0000025	data filtering software parameters
DPBO:0000026	genome reference sequence
DPBO:0000027	processed data file format
DPBO:0000028	processed data file name
DPBO:0000029	processed data file checksum
DPBO:0000033	plant age
DPBO:0000035	library strategy
DPBO:0000036	library selection
DPBO:0000040	next generation sequencing instrument model
DPBO:0000041	growth day length
DPBO:0000042	biological replicate
DPBO:0000043	MS sample post-extraction
DPBO:0000044	MS sample resuspension
DPBO:0000045	MS sample type
DPBO:0000046	chromatography instrument model
DPBO:0000047	chromatography autosampler model
DPBO:0000048	chromatography column model
DPBO:0000049	chromatography guard column model
DPBO:0000050	extraction buffer
DPBO:0000051	extraction buffer volume
DPBO:0000052	MS derivatization
DPBO:0000053	chromatography column type
DPBO:0000054	extraction method
DPBO:0000056	library DNA amount
DPBO:0000057	next generation sequencing platform
DPBO:0000059	sequence assembly method
DPBO:0000060	sequence assembly algorithm version
DPBO:0000061	genome status
DPBO:0000062	RNA quality check
